Participant_ID,Name,Email,College,State,Domain,Day,Participation_Status,Score,Feedback,Image_File,Date
23,Sarah Brown,jane_white@yahoo.com,MIT,New York,AI & ML,Day 3,Ongoing,58,challenging great great difficult fun educational great fun challenging great,participant_23.jpg,2025-04-23
24,Alex Anderson,laura_jackson@gmail.com,Berkeley,Texas,AI & ML,Day 1,Dropped,93,difficult difficult exciting challenging great educational educational great average rewarding,participant_24.jpg,2025-04-24
25,Sarah White,jane_brown@gmail.com,Berkeley,Florida,Blockchain,Day 1,Completed,93,exciting challenging educational difficult average great great difficult intense challenging,participant_25.jpg,2025-04-25
26,John Harris,jane_harris@gmail.com,Berkeley,Florida,FinTech,Day 2,Dropped,95,exciting innovative great challenging challenging educational educational exciting challenging innovative,participant_26.jpg,2025-04-26
27,Michael Anderson,michael_taylor@gmail.com,CMU,New York,IoT,Day 1,Dropped,68,fun fun fun innovative intense rewarding innovative fun average fun,participant_27.jpg,2025-04-27
28,Alex Jackson,chris_anderson@outlook.com,Stanford,New York,AI & ML,Day 1,Completed,53,innovative average fun challenging innovative exciting difficult rewarding rewarding rewarding,participant_28.jpg,2025-04-28
29,Alex Brown,emily_white@outlook.com,Stanford,Illinois,Cybersecurity,Day 1,Ongoing,51,innovative difficult challenging exciting average great educational educational educational exciting,participant_29.jpg,2025-04-29
30,David Smith,katie_brown@gmail.com,Harvard,New York,Cybersecurity,Day 3,Ongoing,81,average great intense exciting average fun difficult great educational innovative,participant_30.jpg,2025-04-30
31,Katie Anderson,john_white@gmail.com,Berkeley,New York,IoT,Day 1,Completed,50,difficult educational fun average intense exciting challenging exciting innovative challenging,participant_31.jpg,2025-05-01
32,Alex Martin,john_harris@outlook.com,Harvard,Illinois,Cybersecurity,Day 1,Completed,59,difficult intense innovative intense educational fun average rewarding educational exciting,participant_32.jpg,2025-05-02
33,David Jackson,michael_harris@outlook.com,CMU,California,FinTech,Day 2,Ongoing,72,intense great innovative great average rewarding challenging great intense exciting,participant_33.jpg,2025-05-03
34,Sarah Anderson,emily_smith@gmail.com,Berkeley,California,FinTech,Day 2,Completed,63,challenging great exciting exciting average fun challenging intense educational challenging,participant_34.jpg,2025-05-04
35,John Thomas,katie_thomas@outlook.com,MIT,California,Blockchain,Day 3,Completed,67,fun educational intense difficult great rewarding fun average educational great,participant_35.jpg,2025-05-05
36,Katie White,michael_white@gmail.com,Berkeley,Texas,Blockchain,Day 3,Ongoing,62,educational average average innovative educational exciting difficult challenging great exciting,participant_36.jpg,2025-05-06
37,John Jackson,david_harris@outlook.com,Berkeley,Florida,Cybersecurity,Day 3,Dropped,70,intense rewarding intense difficult difficult great fun innovative rewarding rewarding,participant_37.jpg,2025-05-07
38,John Smith,laura_thomas@gmail.com,CMU,New York,AI & ML,Day 1,Completed,83,educational innovative great innovative intense challenging educational rewarding intense challenging,participant_38.jpg,2025-05-08
39,Emily Anderson,laura_brown@yahoo.com,MIT,California,FinTech,Day 2,Completed,57,challenging educational exciting great intense rewarding average educational difficult difficult,participant_39.jpg,2025-05-09
40,Katie Martin,laura_jackson@yahoo.com,Harvard,California,Cybersecurity,Day 2,Dropped,95,fun exciting exciting educational intense great intense rewarding difficult innovative,participant_40.jpg,2025-05-10
41,Chris Smith,john_anderson@yahoo.com,MIT,Illinois,FinTech,Day 3,Ongoing,75,great innovative average innovative average rewarding great average challenging average,participant_41.jpg,2025-05-11
42,Laura Harris,emily_jackson@yahoo.com,Harvard,Florida,Blockchain,Day 3,Ongoing,78,difficult educational average challenging fun challenging intense intense challenging difficult,participant_42.jpg,2025-05-12
43,Laura Smith,michael_harris@gmail.com,Stanford,Illinois,IoT,Day 1,Ongoing,57,innovative educational exciting difficult great educational innovative innovative educational fun,participant_43.jpg,2025-05-13
44,David Thomas,laura_anderson@outlook.com,Berkeley,Illinois,IoT,Day 1,Dropped,71,fun innovative rewarding educational educational intense difficult intense educational exciting,participant_44.jpg,2025-05-14
45,Jane Martin,katie_taylor@gmail.com,Stanford,California,FinTech,Day 3,Completed,82,difficult great fun intense difficult great innovative great great fun,participant_45.jpg,2025-05-15
46,Emily Harris,laura_taylor@outlook.com,MIT,Texas,Blockchain,Day 3,Completed,56,great average average exciting rewarding intense difficult difficult intense great,participant_46.jpg,2025-05-16
47,Laura Anderson,katie_taylor@outlook.com,Berkeley,Florida,AI & ML,Day 1,Completed,59,intense fun great great great educational innovative exciting great rewarding,participant_47.jpg,2025-05-17
48,Alex White,michael_johnson@outlook.com,Stanford,Illinois,FinTech,Day 3,Ongoing,83,educational fun great innovative average fun fun educational average educational,participant_48.jpg,2025-05-18
49,Sarah Jackson,john_harris@gmail.com,Harvard,Texas,IoT,Day 1,Ongoing,56,great educational innovative rewarding difficult difficult intense fun difficult innovative,participant_49.jpg,2025-05-19
50,Alex Smith,john_martin@outlook.com,Harvard,California,Cybersecurity,Day 2,Ongoing,59,rewarding rewarding exciting educational fun difficult average intense educational great,participant_50.jpg,2025-05-20
51,John Taylor,sarah_brown@yahoo.com,Berkeley,Florida,IoT,Day 1,Completed,94,innovative challenging educational educational great educational fun fun great challenging,participant_51.jpg,2025-05-21
52,Laura Martin,alex_anderson@outlook.com,Stanford,Illinois,Blockchain,Day 3,Ongoing,78,fun fun average rewarding average average rewarding educational difficult exciting,participant_52.jpg,2025-05-22
53,David Johnson,alex_johnson@outlook.com,Harvard,Illinois,IoT,Day 3,Dropped,61,challenging difficult intense educational educational average fun intense intense challenging,participant_53.jpg,2025-05-23
54,David Smith,alex_jackson@outlook.com,Harvard,California,FinTech,Day 1,Completed,91,challenging difficult innovative challenging great innovative exciting average intense fun,participant_54.jpg,2025-05-24
55,Jane Taylor,katie_anderson@gmail.com,MIT,California,FinTech,Day 1,Dropped,52,difficult challenging challenging rewarding innovative educational rewarding fun average educational,participant_55.jpg,2025-05-25
56,John Anderson,katie_jackson@outlook.com,CMU,Illinois,FinTech,Day 2,Ongoing,73,average challenging innovative innovative average rewarding rewarding intense innovative exciting,participant_56.jpg,2025-05-26
57,Katie Anderson,michael_martin@outlook.com,Harvard,California,FinTech,Day 2,Ongoing,89,average average great fun challenging innovative challenging intense educational fun,participant_57.jpg,2025-05-27
58,Emily Martin,chris_jackson@gmail.com,MIT,Illinois,FinTech,Day 1,Dropped,74,innovative challenging rewarding fun exciting challenging exciting innovative average great,participant_58.jpg,2025-05-28
59,Laura White,sarah_taylor@yahoo.com,Berkeley,California,Cybersecurity,Day 3,Dropped,74,great great challenging average great exciting exciting rewarding educational difficult,participant_59.jpg,2025-05-29
60,Laura Taylor,katie_jackson@yahoo.com,Berkeley,California,Blockchain,Day 3,Ongoing,70,fun challenging difficult great exciting great difficult rewarding challenging innovative,participant_60.jpg,2025-05-30
61,Laura Harris,katie_martin@yahoo.com,Harvard,California,IoT,Day 2,Completed,73,exciting innovative innovative great innovative innovative exciting challenging difficult difficult,participant_61.jpg,2025-05-31
62,Emily Taylor,michael_jackson@yahoo.com,Stanford,California,FinTech,Day 2,Completed,91,innovative great average exciting fun challenging fun difficult educational rewarding,participant_62.jpg,2025-06-01
63,Michael Jackson,katie_martin@yahoo.com,Stanford,Illinois,IoT,Day 2,Dropped,62,fun fun difficult challenging average exciting challenging fun intense great,participant_63.jpg,2025-06-02
64,Jane White,katie_white@gmail.com,CMU,New York,IoT,Day 3,Ongoing,100,educational educational exciting intense difficult great intense exciting challenging average,participant_64.jpg,2025-06-03
65,Michael Taylor,chris_white@outlook.com,Berkeley,California,Blockchain,Day 2,Dropped,97,great innovative exciting great difficult great innovative difficult fun difficult,participant_65.jpg,2025-06-04
66,Jane White,laura_taylor@outlook.com,MIT,Texas,IoT,Day 1,Completed,89,intense challenging challenging educational intense average exciting intense exciting exciting,participant_66.jpg,2025-06-05
67,Chris Brown,alex_martin@gmail.com,Harvard,Texas,IoT,Day 2,Ongoing,70,educational difficult rewarding rewarding educational intense average fun exciting fun,participant_67.jpg,2025-06-06
68,Alex Smith,alex_taylor@outlook.com,MIT,Florida,Cybersecurity,Day 2,Completed,51,intense average average average fun fun educational exciting educational challenging,participant_68.jpg,2025-06-07
69,Katie Harris,david_johnson@yahoo.com,Berkeley,Florida,Blockchain,Day 2,Completed,82,challenging educational rewarding difficult rewarding challenging difficult rewarding innovative intense,participant_69.jpg,2025-06-08
70,David Thomas,laura_harris@yahoo.com,Harvard,Texas,AI & ML,Day 3,Ongoing,65,average fun average great rewarding rewarding challenging fun challenging educational,participant_70.jpg,2025-06-09
71,Alex Smith,david_taylor@outlook.com,Stanford,New York,Cybersecurity,Day 3,Completed,90,difficult average great educational innovative average rewarding difficult intense average,participant_71.jpg,2025-06-10
72,David Anderson,david_johnson@yahoo.com,Stanford,Illinois,Blockchain,Day 3,Dropped,93,educational challenging exciting innovative average innovative difficult innovative fun innovative,participant_72.jpg,2025-06-11
73,Jane Smith,alex_brown@outlook.com,Stanford,New York,Cybersecurity,Day 2,Completed,92,fun average great educational exciting intense educational intense challenging innovative,participant_73.jpg,2025-06-12
74,Katie Brown,john_thomas@outlook.com,Berkeley,Illinois,Blockchain,Day 1,Ongoing,87,intense fun rewarding fun rewarding exciting intense intense fun average,participant_74.jpg,2025-06-13
75,Sarah Martin,chris_johnson@yahoo.com,Berkeley,Texas,FinTech,Day 1,Ongoing,52,great difficult rewarding educational rewarding intense challenging great rewarding average,participant_75.jpg,2025-06-14
76,Katie White,david_brown@outlook.com,MIT,California,Blockchain,Day 1,Dropped,80,intense innovative difficult exciting educational difficult average average average exciting,participant_76.jpg,2025-06-15
77,John Taylor,alex_harris@outlook.com,MIT,Florida,AI & ML,Day 1,Ongoing,63,rewarding educational intense difficult educational educational exciting average rewarding challenging,participant_77.jpg,2025-06-16
78,David Jackson,alex_smith@outlook.com,Berkeley,Texas,FinTech,Day 1,Completed,67,rewarding challenging innovative difficult great exciting great great challenging great,participant_78.jpg,2025-06-17
79,Emily Martin,alex_jackson@outlook.com,MIT,California,FinTech,Day 1,Ongoing,75,fun fun exciting innovative difficult great difficult educational difficult innovative,participant_79.jpg,2025-06-18
80,Laura Anderson,emily_jackson@outlook.com,CMU,California,AI & ML,Day 1,Completed,88,great challenging challenging average challenging average intense challenging educational challenging,participant_80.jpg,2025-06-19
81,Alex Harris,david_thomas@yahoo.com,Harvard,Florida,Blockchain,Day 2,Completed,56,average rewarding fun rewarding innovative average intense intense challenging fun,participant_81.jpg,2025-06-20
82,Chris Anderson,alex_johnson@outlook.com,Stanford,New York,Cybersecurity,Day 2,Completed,98,challenging average intense great fun intense difficult fun great exciting,participant_82.jpg,2025-06-21
83,Michael White,alex_thomas@outlook.com,Berkeley,Florida,FinTech,Day 2,Ongoing,96,great great exciting difficult intense great great great educational challenging,participant_83.jpg,2025-06-22
84,Laura Thomas,alex_white@outlook.com,CMU,Florida,FinTech,Day 3,Completed,60,challenging great challenging average intense intense innovative fun rewarding educational,participant_84.jpg,2025-06-23
85,Michael Thomas,david_thomas@gmail.com,Berkeley,Illinois,AI & ML,Day 2,Ongoing,94,great average intense average great fun challenging educational average intense,participant_85.jpg,2025-06-24
86,Alex Anderson,laura_harris@yahoo.com,CMU,Illinois,AI & ML,Day 3,Ongoing,80,average exciting great challenging innovative rewarding exciting intense challenging average,participant_86.jpg,2025-06-25
87,Sarah Taylor,david_taylor@yahoo.com,Stanford,Illinois,Cybersecurity,Day 2,Ongoing,56,fun educational rewarding difficult fun exciting intense innovative exciting challenging,participant_87.jpg,2025-06-26
88,Michael Smith,chris_martin@yahoo.com,CMU,Texas,Cybersecurity,Day 2,Completed,91,innovative great difficult rewarding exciting great challenging fun intense educational,participant_88.jpg,2025-06-27
89,Alex Jackson,michael_brown@gmail.com,Berkeley,Illinois,FinTech,Day 2,Ongoing,91,difficult difficult difficult challenging average innovative challenging intense innovative great,participant_89.jpg,2025-06-28
90,David Taylor,jane_brown@yahoo.com,Stanford,Texas,FinTech,Day 2,Completed,82,great challenging intense intense challenging innovative great innovative difficult intense,participant_90.jpg,2025-06-29
91,David Jackson,alex_brown@gmail.com,MIT,California,IoT,Day 2,Ongoing,74,difficult challenging innovative educational exciting exciting innovative innovative fun great,participant_91.jpg,2025-06-30
92,Laura Anderson,laura_taylor@outlook.com,CMU,New York,FinTech,Day 2,Completed,81,exciting exciting exciting educational innovative exciting average intense average average,participant_92.jpg,2025-07-01
93,John Johnson,alex_harris@yahoo.com,MIT,New York,IoT,Day 1,Completed,78,challenging rewarding innovative challenging challenging intense great challenging educational rewarding,participant_93.jpg,2025-07-02
94,John Martin,emily_jackson@yahoo.com,Harvard,New York,Blockchain,Day 2,Completed,87,fun innovative challenging intense average exciting rewarding fun intense rewarding,participant_94.jpg,2025-07-03
95,Emily Taylor,david_white@outlook.com,CMU,California,IoT,Day 1,Completed,67,innovative rewarding average innovative intense exciting difficult difficult innovative rewarding,participant_95.jpg,2025-07-04
96,Michael Jackson,alex_brown@outlook.com,MIT,Illinois,Blockchain,Day 3,Completed,70,rewarding great fun challenging great challenging difficult difficult educational great,participant_96.jpg,2025-07-05
97,John Martin,sarah_jackson@outlook.com,MIT,California,Blockchain,Day 1,Dropped,83,challenging difficult great challenging innovative difficult difficult challenging challenging intense,participant_97.jpg,2025-07-06
98,Michael Johnson,chris_harris@outlook.com,CMU,California,AI & ML,Day 1,Completed,85,fun difficult average great educational innovative challenging educational intense difficult,participant_98.jpg,2025-07-07
99,Sarah Martin,jane_johnson@gmail.com,Harvard,California,IoT,Day 2,Completed,90,difficult fun average intense educational great great average great exciting,participant_99.jpg,2025-07-08
100,Sarah Harris,sarah_anderson@outlook.com,MIT,California,AI & ML,Day 1,Ongoing,57,average fun difficult great rewarding exciting rewarding innovative average educational,participant_100.jpg,2025-07-09
101,Emily Johnson,katie_harris@outlook.com,Stanford,Illinois,Cybersecurity,Day 2,Completed,91,average innovative challenging innovative fun innovative intense great average educational,participant_101.jpg,2025-07-10
102,Laura Jackson,alex_jackson@yahoo.com,Harvard,Texas,Blockchain,Day 2,Dropped,97,great educational difficult educational difficult difficult innovative exciting innovative exciting,participant_102.jpg,2025-07-11
103,Sarah Harris,katie_jackson@gmail.com,CMU,Florida,FinTech,Day 2,Dropped,89,intense innovative great intense great fun rewarding intense rewarding exciting,participant_103.jpg,2025-07-12
104,John Martin,emily_smith@outlook.com,CMU,Illinois,FinTech,Day 3,Completed,96,difficult educational intense exciting exciting rewarding exciting challenging educational intense,participant_104.jpg,2025-07-13
105,David Thomas,sarah_white@yahoo.com,Berkeley,Texas,AI & ML,Day 1,Dropped,82,innovative exciting fun average rewarding average difficult innovative average difficult,participant_105.jpg,2025-07-14
106,John Martin,john_harris@yahoo.com,CMU,Illinois,AI & ML,Day 3,Completed,61,great average great innovative innovative exciting average intense exciting intense,participant_106.jpg,2025-07-15
107,Sarah Taylor,katie_smith@yahoo.com,CMU,New York,IoT,Day 1,Completed,88,innovative innovative educational fun rewarding rewarding challenging average exciting rewarding,participant_107.jpg,2025-07-16
108,Emily Jackson,sarah_white@gmail.com,Berkeley,California,Blockchain,Day 1,Dropped,94,average intense intense exciting educational great challenging great fun intense,participant_108.jpg,2025-07-17
109,Michael Smith,katie_brown@outlook.com,Stanford,Texas,AI & ML,Day 3,Completed,63,intense average exciting innovative innovative difficult great average intense exciting,participant_109.jpg,2025-07-18
110,Katie Harris,chris_johnson@gmail.com,Berkeley,Florida,Cybersecurity,Day 1,Dropped,99,great fun average intense educational great difficult difficult rewarding difficult,participant_110.jpg,2025-07-19
111,Chris Smith,jane_white@gmail.com,Stanford,Texas,FinTech,Day 1,Ongoing,94,difficult exciting exciting challenging exciting intense rewarding difficult great challenging,participant_111.jpg,2025-07-20
112,Michael Taylor,emily_thomas@gmail.com,Berkeley,Florida,AI & ML,Day 1,Dropped,76,rewarding fun difficult fun innovative difficult innovative rewarding great educational,participant_112.jpg,2025-07-21
113,Alex Martin,john_brown@yahoo.com,Harvard,California,FinTech,Day 2,Ongoing,51,great rewarding difficult average challenging intense difficult average intense rewarding,participant_113.jpg,2025-07-22
114,Katie White,sarah_brown@gmail.com,Harvard,New York,FinTech,Day 3,Completed,65,exciting fun great great educational rewarding average rewarding educational challenging,participant_114.jpg,2025-07-23
115,David Taylor,katie_white@yahoo.com,MIT,Illinois,IoT,Day 3,Ongoing,57,difficult rewarding rewarding challenging great intense fun challenging great educational,participant_115.jpg,2025-07-24
116,Jane Johnson,chris_thomas@outlook.com,MIT,Illinois,AI & ML,Day 2,Dropped,64,innovative average fun intense educational intense educational challenging fun innovative,participant_116.jpg,2025-07-25
117,Michael Jackson,emily_jackson@gmail.com,CMU,Florida,Cybersecurity,Day 3,Ongoing,85,great difficult intense challenging difficult innovative challenging exciting innovative exciting,participant_117.jpg,2025-07-26
118,Emily White,john_thomas@yahoo.com,Harvard,Illinois,FinTech,Day 2,Ongoing,55,intense great challenging innovative innovative challenging average educational difficult challenging,participant_118.jpg,2025-07-27
119,Sarah Thomas,emily_white@yahoo.com,Stanford,New York,IoT,Day 2,Dropped,75,fun average innovative average intense great innovative exciting educational average,participant_119.jpg,2025-07-28
120,John Smith,laura_johnson@outlook.com,Harvard,California,Cybersecurity,Day 1,Dropped,74,average difficult difficult intense challenging rewarding fun rewarding challenging great,participant_120.jpg,2025-07-29
121,Emily Jackson,david_white@yahoo.com,Harvard,California,IoT,Day 1,Completed,57,educational intense exciting average intense innovative exciting challenging intense difficult,participant_121.jpg,2025-07-30
122,Alex Jackson,alex_jackson@yahoo.com,MIT,California,FinTech,Day 2,Ongoing,61,difficult rewarding difficult great challenging innovative difficult educational intense great,participant_122.jpg,2025-07-31
123,Sarah Harris,laura_johnson@gmail.com,Harvard,New York,IoT,Day 2,Ongoing,86,innovative educational average fun innovative innovative challenging rewarding exciting innovative,participant_123.jpg,2025-08-01
124,Chris White,chris_taylor@outlook.com,Stanford,Florida,FinTech,Day 3,Completed,93,innovative innovative challenging challenging educational difficult educational fun educational exciting,participant_124.jpg,2025-08-02
125,Sarah Taylor,michael_anderson@outlook.com,Berkeley,Texas,Cybersecurity,Day 2,Dropped,53,average innovative educational average great exciting difficult challenging fun rewarding,participant_125.jpg,2025-08-03
126,Chris Martin,chris_harris@gmail.com,CMU,New York,AI & ML,Day 1,Completed,51,challenging great rewarding average challenging educational intense fun challenging exciting,participant_126.jpg,2025-08-04
127,Sarah Harris,alex_thomas@yahoo.com,MIT,Texas,AI & ML,Day 1,Ongoing,86,average fun fun intense fun average difficult rewarding exciting educational,participant_127.jpg,2025-08-05
128,Katie Taylor,alex_thomas@gmail.com,Harvard,Florida,AI & ML,Day 1,Dropped,62,educational rewarding great exciting fun difficult fun difficult difficult rewarding,participant_128.jpg,2025-08-06
129,Katie Thomas,sarah_white@outlook.com,CMU,Texas,IoT,Day 2,Ongoing,72,great intense fun rewarding intense challenging fun fun intense great,participant_129.jpg,2025-08-07
130,Emily Taylor,laura_martin@yahoo.com,CMU,Florida,Blockchain,Day 2,Ongoing,55,challenging innovative difficult educational difficult great innovative exciting fun difficult,participant_130.jpg,2025-08-08
131,John Harris,john_johnson@outlook.com,CMU,New York,Cybersecurity,Day 3,Ongoing,62,average intense innovative educational average fun innovative innovative innovative average,participant_131.jpg,2025-08-09
132,Chris Smith,jane_taylor@gmail.com,Harvard,Florida,AI & ML,Day 1,Completed,85,exciting difficult exciting intense exciting difficult average great exciting challenging,participant_132.jpg,2025-08-10
133,Alex Smith,laura_johnson@gmail.com,Stanford,California,IoT,Day 3,Dropped,99,intense rewarding exciting great educational average fun great educational exciting,participant_133.jpg,2025-08-11
134,David Jackson,sarah_martin@gmail.com,CMU,Texas,FinTech,Day 2,Completed,85,challenging difficult rewarding average intense innovative great challenging fun rewarding,participant_134.jpg,2025-08-12
135,Alex Jackson,john_taylor@yahoo.com,CMU,Texas,IoT,Day 1,Ongoing,73,fun innovative rewarding innovative fun educational innovative fun fun average,participant_135.jpg,2025-08-13
136,Alex Martin,alex_white@outlook.com,Berkeley,Florida,AI & ML,Day 3,Dropped,55,difficult difficult great average educational fun educational exciting fun rewarding,participant_136.jpg,2025-08-14
137,Michael Thomas,david_anderson@gmail.com,Harvard,Florida,Blockchain,Day 1,Dropped,68,innovative great average educational rewarding educational exciting rewarding innovative fun,participant_137.jpg,2025-08-15
138,Laura Taylor,john_martin@outlook.com,CMU,Florida,FinTech,Day 3,Dropped,83,great difficult difficult educational intense intense fun challenging great exciting,participant_138.jpg,2025-08-16
139,Laura Johnson,laura_smith@yahoo.com,Berkeley,California,FinTech,Day 3,Completed,61,rewarding exciting intense fun rewarding difficult fun exciting exciting challenging,participant_139.jpg,2025-08-17
140,Alex Anderson,laura_thomas@gmail.com,CMU,Texas,Blockchain,Day 1,Completed,82,innovative great intense challenging great challenging difficult innovative rewarding intense,participant_140.jpg,2025-08-18
141,Emily Johnson,chris_jackson@outlook.com,Harvard,New York,AI & ML,Day 3,Dropped,84,intense average innovative challenging average difficult fun great average challenging,participant_141.jpg,2025-08-19
142,Michael Harris,john_brown@outlook.com,Harvard,Texas,FinTech,Day 2,Ongoing,85,challenging fun educational innovative rewarding educational rewarding fun fun intense,participant_142.jpg,2025-08-20
143,Michael Thomas,alex_martin@gmail.com,CMU,Illinois,Cybersecurity,Day 3,Ongoing,56,average average difficult challenging rewarding exciting fun intense rewarding challenging,participant_143.jpg,2025-08-21
144,Michael Taylor,jane_taylor@gmail.com,MIT,Illinois,AI & ML,Day 1,Completed,64,fun educational rewarding challenging average average average challenging educational intense,participant_144.jpg,2025-08-22
145,Katie Harris,laura_taylor@outlook.com,Harvard,California,FinTech,Day 2,Dropped,68,exciting difficult challenging average intense average intense challenging intense challenging,participant_145.jpg,2025-08-23
146,Laura Harris,david_brown@outlook.com,MIT,New York,FinTech,Day 3,Dropped,73,intense exciting innovative innovative great innovative average exciting fun average,participant_146.jpg,2025-08-24
147,Sarah Taylor,michael_johnson@yahoo.com,Harvard,California,AI & ML,Day 1,Completed,76,rewarding fun innovative intense challenging intense rewarding innovative fun challenging,participant_147.jpg,2025-08-25
148,David Johnson,sarah_taylor@outlook.com,MIT,New York,AI & ML,Day 2,Dropped,70,exciting great exciting exciting average difficult difficult great exciting exciting,participant_148.jpg,2025-08-26
149,David Taylor,laura_anderson@gmail.com,CMU,Florida,Cybersecurity,Day 1,Ongoing,61,difficult fun educational challenging intense innovative challenging fun educational intense,participant_149.jpg,2025-08-27
150,Laura Harris,sarah_brown@gmail.com,CMU,Florida,FinTech,Day 1,Completed,75,rewarding rewarding average intense educational challenging fun great great educational,participant_150.jpg,2025-08-28
151,David Thomas,laura_taylor@yahoo.com,CMU,Illinois,Cybersecurity,Day 1,Ongoing,62,great exciting great difficult exciting average intense average educational exciting,participant_151.jpg,2025-08-29
152,Katie Martin,chris_thomas@gmail.com,Harvard,Texas,Cybersecurity,Day 2,Ongoing,74,educational difficult educational difficult innovative educational challenging average innovative rewarding,participant_152.jpg,2025-08-30
153,David White,michael_thomas@yahoo.com,Stanford,New York,IoT,Day 1,Ongoing,75,intense intense rewarding difficult innovative intense rewarding difficult fun average,participant_153.jpg,2025-08-31
154,Chris Johnson,sarah_thomas@gmail.com,MIT,Illinois,AI & ML,Day 1,Dropped,86,intense exciting average average average innovative intense great fun difficult,participant_154.jpg,2025-09-01
155,Katie Thomas,emily_white@gmail.com,Stanford,New York,Blockchain,Day 3,Dropped,78,fun average fun educational rewarding innovative rewarding difficult educational rewarding,participant_155.jpg,2025-09-02
156,David Smith,john_johnson@yahoo.com,Berkeley,Florida,Blockchain,Day 2,Dropped,71,rewarding average innovative intense innovative average difficult difficult challenging innovative,participant_156.jpg,2025-09-03
157,Michael White,katie_anderson@gmail.com,Stanford,Florida,AI & ML,Day 3,Ongoing,100,challenging average rewarding educational difficult educational rewarding intense average intense,participant_157.jpg,2025-09-04
